	word	zstat	pvalue	f1_count	f2_count
0	need icu	2.549829906988566	0.005388774350008108	7	2
1	could miss	2.266663547536498	0.011705393424001415	3	0
2	someone actually	2.266663547536498	0.011705393424001415	3	0
3	could die	2.2394718289292452	0.012562616154311302	6	2
4	could result	1.8498604297615566	0.032166834205914374	2	0
5	could lifethreatening	1.8498604297615566	0.032166834205914374	2	0
6	get help	1.8498604297615566	0.032166834205914374	2	0
7	including death	1.8498604297615566	0.032166834205914374	2	0
8	care could	1.8498604297615566	0.032166834205914374	2	0
9	die without	1.8498604297615566	0.032166834205914374	2	0
10	icu care	1.8498604297615566	0.032166834205914374	2	0
11	health including	1.8498604297615566	0.032166834205914374	2	0
12	impact individual	1.8498604297615566	0.032166834205914374	2	0
13	bed need	1.8498604297615566	0.032166834205914374	2	0
14	mistakenly given	1.8498604297615566	0.032166834205914374	2	0
15	support need	1.8498604297615566	0.032166834205914374	2	0
16	need get	1.8498604297615566	0.032166834205914374	2	0
17	need could	1.8498604297615566	0.032166834205914374	2	0
18	given icu	1.8498604297615566	0.032166834205914374	2	0
19	individual get	1.8498604297615566	0.032166834205914374	2	0
20	individual mistakenly	1.8498604297615566	0.032166834205914374	2	0
21	icu treatment	1.8498604297615566	0.032166834205914374	2	0
22	needed icu	1.5805858153888597	0.05698638560154082	3	1
23	someone need	1.513485473200502	0.0650781941884986	4	2
24	easily die	1.3074397510247653	0.09553170217676071	1	0
25	bed support	1.3074397510247653	0.09553170217676071	1	0
26	individual decide	1.3074397510247653	0.09553170217676071	1	0
27	directly mean	1.3074397510247653	0.09553170217676071	1	0
28	mean difference	1.3074397510247653	0.09553170217676071	1	0
29	could death	1.3074397510247653	0.09553170217676071	1	0
30	get health	1.3074397510247653	0.09553170217676071	1	0
31	could still	1.3074397510247653	0.09553170217676071	1	0
32	life death	1.3074397510247653	0.09553170217676071	1	0
33	sick without	1.3074397510247653	0.09553170217676071	1	0
34	sent could	1.3074397510247653	0.09553170217676071	1	0
35	need obvious	1.3074397510247653	0.09553170217676071	1	0
36	risk chance	1.3074397510247653	0.09553170217676071	1	0
37	get better	1.3074397510247653	0.09553170217676071	1	0
38	individual needed	1.3074397510247653	0.09553170217676071	1	0
39	getting right	1.3074397510247653	0.09553170217676071	1	0
40	may receive	1.3074397510247653	0.09553170217676071	1	0
41	tension fear	1.3074397510247653	0.09553170217676071	1	0
42	icu risk	1.3074397510247653	0.09553170217676071	1	0
43	great risk	1.3074397510247653	0.09553170217676071	1	0
44	triaged another	1.3074397510247653	0.09553170217676071	1	0
45	potentially die	1.3074397510247653	0.09553170217676071	1	0
