	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	2.2769448460729684	0.011394759698327837	14	13	0.05263157894736842	0.02276707530647986
1	patient	2.2044429447845535	0.013746604153262551	13	12	0.04887218045112782	0.021015761821366025
2	around	2.0744918114370177	0.019016829233447493	2	0	0.007518796992481203	0.0
3	data	2.0744918114370177	0.019016829233447493	2	0	0.007518796992481203	0.0
4	doctor	2.0744918114370177	0.019016829233447493	2	0	0.007518796992481203	0.0
5	like	2.0744918114370177	0.019016829233447493	2	0	0.007518796992481203	0.0
6	speak	2.0744918114370177	0.019016829233447493	2	0	0.007518796992481203	0.0
7	system	2.0744918114370177	0.019016829233447493	2	0	0.007518796992481203	0.0
8	affect	1.8608865259212524	0.03138010147316002	3	1	0.011278195488721804	0.0017513134851138354
9	believe	1.8608865259212524	0.03138010147316002	3	1	0.011278195488721804	0.0017513134851138354
10	friend	1.8608865259212524	0.03138010147316002	3	1	0.011278195488721804	0.0017513134851138354
11	hospital	1.7221093893158994	0.042524852277605975	7	6	0.02631578947368421	0.010507880910683012
12	family	1.632333030135722	0.0513046743353385	6	5	0.022556390977443608	0.008756567425569177
13	among	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
14	apart	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
15	aswell	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
16	based	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
17	becomes	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
18	benefit	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
19	caucasian	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
20	citizen	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
21	complication	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
22	denied	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
23	devastated	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
24	devote	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
25	difficult	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
26	distrust	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
27	effect	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
28	etc	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
29	ethnicity	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
30	expecting	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
31	experience	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
32	failing	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
33	form	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
34	go	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
35	going	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
36	got	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
37	greatest	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
38	group	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
39	harder	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
40	harmed	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
41	harmful	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
42	hurt	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
43	illness	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
44	information	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
45	job	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
46	know	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
47	liable	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
48	loss	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
49	loved	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
50	maybe	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
51	might	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
52	nurse	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
53	nursing	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
54	open	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
55	pas	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
56	past	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
57	percentage	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
58	point	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
59	poor	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
60	possibly	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
61	probably	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
62	proper	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
63	properly	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
64	reviverescue	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
65	short	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
66	show	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
67	specialty	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
68	stick	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
69	tend	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
70	therefore	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
71	today	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
72	trauma	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
73	try	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
74	turbulence	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
75	unneeded	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
76	using	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
77	want	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
78	way	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
79	whether	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
80	work	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
81	wrongful	1.4660096399713658	0.07132283032450072	1	0	0.0037593984962406013	0.0
82	staff	1.447220147019055	0.0739176377947123	4	3	0.015037593984962405	0.005253940455341506
83	chance	1.3000627355894647	0.09678973411436964	2	1	0.007518796992481203	0.0017513134851138354
84	greater	1.3000627355894647	0.09678973411436964	2	1	0.007518796992481203	0.0017513134851138354
85	ill	1.3000627355894647	0.09678973411436964	2	1	0.007518796992481203	0.0017513134851138354
86	make	1.3000627355894647	0.09678973411436964	2	1	0.007518796992481203	0.0017513134851138354
87	minority	1.3000627355894647	0.09678973411436964	2	1	0.007518796992481203	0.0017513134851138354
88	time	1.3000627355894647	0.09678973411436964	2	1	0.007518796992481203	0.0017513134851138354
89	death	0.9619418369065506	0.16803941068559275	3	3	0.011278195488721804	0.005253940455341506
90	different	0.7844787704298299	0.2163796170327954	2	2	0.007518796992481203	0.0035026269702276708
91	machine	0.7844787704298299	0.2163796170327954	2	2	0.007518796992481203	0.0035026269702276708
92	one	0.7844787704298299	0.2163796170327954	2	2	0.007518796992481203	0.0035026269702276708
93	without	0.6320631732270301	0.2636727990422089	3	4	0.011278195488721804	0.0070052539404553416
94	mistake	0.5616160879480823	0.28718880842725303	4	6	0.015037593984962405	0.010507880910683012
95	adequate	0.5540455363295012	0.2897738411024493	1	1	0.0037593984962406013	0.0017513134851138354
96	community	0.5540455363295012	0.2897738411024493	1	1	0.0037593984962406013	0.0017513134851138354
97	consider	0.5540455363295012	0.2897738411024493	1	1	0.0037593984962406013	0.0017513134851138354
98	considering	0.5540455363295012	0.2897738411024493	1	1	0.0037593984962406013	0.0017513134851138354
99	correct	0.5540455363295012	0.2897738411024493	1	1	0.0037593984962406013	0.0017513134851138354
100	coworkers	0.5540455363295012	0.2897738411024493	1	1	0.0037593984962406013	0.0017513134851138354
101	decision	0.5540455363295012	0.2897738411024493	1	1	0.0037593984962406013	0.0017513134851138354
